0.04	0.000104526	0.2	0.103514	291.306	0
0.04	0.000104526	0.2	0.110917	291.257	0
0.04	0.000104526	0.2	0.11885	291.202	0
0.04	0.000104526	0.2	0.12735	291.139	0
0.04	0.000104526	0.2	0.136458	291.066	0
0.04	0.000104526	0.2	0.146218	290.983	0
0.04	0.000104526	0.2	0.156675	290.887	0
0.04	0.000104526	0.2	0.16788	290.777	0
0.04	0.000104526	0.2	0.179887	290.652	0
0.04	0.000104526	0.2	0.192752	290.508	0
0.04	0.000104526	0.2	0.206538	290.343	0
0.04	0.000104526	0.2	0.221309	290.153	0
0.04	0.000104526	0.2	0.237137	289.937	0
0.04	0.000104526	0.2	0.254097	289.689	0
0.04	0.000104526	0.2	0.27227	289.405	0
0.04	0.000104526	0.2	0.291743	289.081	0
0.04	0.000104526	0.2	0.312608	288.71	0
0.04	0.000104526	0.2	0.334965	288.287	0
0.04	0.000104526	0.2	0.358922	287.803	0
0.04	0.000104526	0.2	0.384592	287.252	0
0.04	0.000104526	0.2	0.412098	286.623	0
0.04	0.000104526	0.2	0.44157	285.907	0
0.04	0.000104526	0.2	0.473151	285.093	0
0.04	0.000104526	0.2	0.506991	284.167	0
0.04	0.000104526	0.2	0.54325	283.117	0
0.04	0.000104526	0.2	0.582103	281.927	0
0.04	0.000104526	0.2	0.623735	280.58	0
0.04	0.000104526	0.2	0.668344	279.059	0
0.04	0.000104526	0.2	0.716143	277.345	0
0.04	0.000104526	0.2	0.767361	275.417	0
0.04	0.000104526	0.2	0.822243	273.256	0
0.04	0.000104526	0.2	0.881049	270.841	0
0.04	0.000104526	0.2	0.944061	268.156	0
0.04	0.000104526	0.2	1.01158	265.187	0
0.04	0.000104526	0.2	1.08393	261.928	0
0.04	0.000104526	0.2	1.16145	258.385	0
0.04	0.000104526	0.2	1.24451	254.582	0
0.04	0.000104526	0.2	1.33352	250.569	0
0.04	0.000104526	0.2	1.42889	246.427	0
0.04	0.000104526	0.2	1.53109	242.283	0
0.04	0.000104526	0.2	1.64059	238.316	0
0.04	0.000104526	0.2	1.75792	234.768	0
0.04	0.000104526	0.2	1.88365	231.951	0
0.04	0.000104526	0.2	2.01837	230.242	0
0.04	0.000104526	0.2	2.16272	230.077	0
0.04	0.000104526	0.2	2.31739	231.91	0
0.04	0.000104526	0.2	2.48313	236.15	0
0.04	0.000104526	0.2	2.66073	243.052	0
0.04	0.000104526	0.2	2.85102	252.584	0
0.04	0.000104526	0.2	3.05492	264.308	0
0.04	0.000104526	0.2	3.27341	277.316	0
0.04	0.000104526	0.2	3.50752	290.289	0
0.04	0.000104526	0.2	3.75837	301.661	0
0.04	0.000104526	0.2	4.02717	309.891	0
0.04	0.000104526	0.2	4.31519	313.723	0
0.04	0.000104526	0.2	4.62381	312.413	0
0.04	0.000104526	0.2	4.9545	305.949	0
0.04	0.000104526	0.2	5.30884	295.255	0
0.04	0.000104526	0.2	5.68853	282.293	0
0.04	0.000104526	0.2	6.09537	269.969	0
0.04	0.000104526	0.2	6.53131	261.669	0
0.04	0.000104526	0.2	6.99842	260.311	0
0.04	0.000104526	0.2	7.49894	267.036	0
0.04	0.000104526	0.2	8.03526	280.121	0
0.04	0.000104526	0.2	8.60994	294.719	0
0.04	0.000104526	0.2	9.22571	303.97	0
0.04	0.000104526	0.2	9.88553	302.196	0
