23	-15262.4	-11130.4
108	-41.0238	-36.5066
133	-128.675	-120.825
455	-293.669	-266.677
530	-206.461	-201.723
661	-448.553	-408.358
793	-458.94	-430.557
927	-15.4144	-13.8702
996	-102.736	-99.2151
1007	-499.588	-455.707
1039	-121.511	-116.905
1085	-50.1043	-43.3236
1128	-225.368	-216.115
1451	-358.315	-346.478
1485	-648.58	-481.204
1574	-382.58	-333.076
1651	-1624.79	-1430.8
1715	-484.924	-435.05
1718	-2390.37	-2086.94
2096	-1601.1	-1333.37
2098	-7.6029	-4.89105
2275	-268.963	-259.574
2295	-3284.51	-3144.5
2324	-377.817	-348.44
2834	-193.095	-187.747
2993	-2029.67	-1364.66
3091	-22.6959	-14.2164
3113	-241.889	-215.012
3424	-39.9844	-34.4412
3489	-68.6365	-53.2995
3492	-563.202	-512.974
3758	-76.0748	-70.635
3818	-222.431	-195.868
3852	-518.545	-515.38
4241	-942.967	-854.779
4307	-229.315	-218.313
4388	-330.004	-324.086
4411	-264.766	-235.837
4575	-84.3385	-77.7745
4728	-176.885	-164.966
4932	-35428	-11847
5000	-134.326	-127.194
5027	-706.105	-705.438
5041	-237.04	-216.597
5166	-27.7867	-23.1498
5199	-30.5635	-30.3621
5458	-8.30372	-4.84811
5549	-54.562	-48.8569
5551	-80.598	-73.3854
5836	-66310.1	-32552.6
5900	-303.999	-295.142
5950	-25195	-9000.85
6078	-12584.9	-9324.1
6114	-10.4931	-2.8075
6164	-575.002	-536.136
6304	-381.337	-359.894
6419	-53.331	-50.9616
6514	-138.834	-131.565
6546	-505.471	-480.991
6597	-3113.94	-2842.78
6726	-697.646	-534.876
6870	-538.303	-487.152
6940	-216.936	-181.566
7093	-174.637	-170.484
7177	-8.4263	-7.47937
7270	-26.3553	-18.3166
7283	-41.8927	-27.7929
7383	-414.611	-389.941
7586	-986.827	-941.22
7662	-931.971	-909.605
7795	-2436.05	-1913
7901	-205.001	-183.692
8183	-1852.14	-1679.85
8359	-3098.01	-2539.32
8379	-171.179	-147.019
8390	-17903.7	-7424.03
8435	-198.94	-183.149
8448	-30.0852	-22.5009
8764	-1609.39	-1501.99
8843	-122012	-56432.9
9219	-177.829	-176.871
9284	-132.58	-112.952
9353	-68.4641	-65.7965
9393	-244.665	-232.255
9592	-554.006	-446.252
9819	-749.702	-703.053
9890	-1306.08	-1222.01
