0.04	0.000104526	0.2	0.103514	260.185	0
0.04	0.000104526	0.2	0.110917	260.137	0
0.04	0.000104526	0.2	0.11885	260.082	0
0.04	0.000104526	0.2	0.12735	260.02	0
0.04	0.000104526	0.2	0.136458	259.948	0
0.04	0.000104526	0.2	0.146218	259.865	0
0.04	0.000104526	0.2	0.156675	259.771	0
0.04	0.000104526	0.2	0.16788	259.662	0
0.04	0.000104526	0.2	0.179887	259.537	0
0.04	0.000104526	0.2	0.192752	259.395	0
0.04	0.000104526	0.2	0.206538	259.231	0
0.04	0.000104526	0.2	0.221309	259.043	0
0.04	0.000104526	0.2	0.237137	258.828	0
0.04	0.000104526	0.2	0.254097	258.582	0
0.04	0.000104526	0.2	0.27227	258.3	0
0.04	0.000104526	0.2	0.291743	257.977	0
0.04	0.000104526	0.2	0.312608	257.607	0
0.04	0.000104526	0.2	0.334965	257.184	0
0.04	0.000104526	0.2	0.358922	256.7	0
0.04	0.000104526	0.2	0.384592	256.148	0
0.04	0.000104526	0.2	0.412098	255.516	0
0.04	0.000104526	0.2	0.44157	254.796	0
0.04	0.000104526	0.2	0.473151	253.974	0
0.04	0.000104526	0.2	0.506991	253.037	0
0.04	0.000104526	0.2	0.54325	251.969	0
0.04	0.000104526	0.2	0.582103	250.754	0
0.04	0.000104526	0.2	0.623735	249.373	0
0.04	0.000104526	0.2	0.668344	247.805	0
0.04	0.000104526	0.2	0.716143	246.027	0
0.04	0.000104526	0.2	0.767361	244.014	0
0.04	0.000104526	0.2	0.822243	241.739	0
0.04	0.000104526	0.2	0.881049	239.177	0
0.04	0.000104526	0.2	0.944061	236.3	0
0.04	0.000104526	0.2	1.01158	233.085	0
0.04	0.000104526	0.2	1.08393	229.515	0
0.04	0.000104526	0.2	1.16145	225.582	0
0.04	0.000104526	0.2	1.24451	221.298	0
0.04	0.000104526	0.2	1.33352	216.698	0
0.04	0.000104526	0.2	1.42889	211.855	0
0.04	0.000104526	0.2	1.53109	206.889	0
0.04	0.000104526	0.2	1.64059	201.978	0
0.04	0.000104526	0.2	1.75792	197.376	0
0.04	0.000104526	0.2	1.88365	193.419	0
0.04	0.000104526	0.2	2.01837	190.532	0
0.04	0.000104526	0.2	2.16272	189.222	0
0.04	0.000104526	0.2	2.31739	190.051	0
0.04	0.000104526	0.2	2.48313	193.569	0
0.04	0.000104526	0.2	2.66073	200.213	0
0.04	0.000104526	0.2	2.85102	210.168	0
0.04	0.000104526	0.2	3.05492	223.23	0
0.04	0.000104526	0.2	3.27341	238.71	0
0.04	0.000104526	0.2	3.50752	255.44	0
0.04	0.000104526	0.2	3.75837	271.881	0
0.04	0.000104526	0.2	4.02717	286.311	0
0.04	0.000104526	0.2	4.31519	297.044	0
0.04	0.000104526	0.2	4.62381	302.638	0
0.04	0.000104526	0.2	4.9545	302.181	0
0.04	0.000104526	0.2	5.30884	295.65	0
0.04	0.000104526	0.2	5.68853	284.233	0
0.04	0.000104526	0.2	6.09537	270.485	0
0.04	0.000104526	0.2	6.53131	258.051	0
0.04	0.000104526	0.2	6.99842	250.766	0
0.04	0.000104526	0.2	7.49894	251.184	0
0.04	0.000104526	0.2	8.03526	259.134	0
0.04	0.000104526	0.2	8.60994	270.999	0
0.04	0.000104526	0.2	9.22571	280.408	0
0.04	0.000104526	0.2	9.88553	281.231	0
0.04	0.000104526	0.2	10.5925	271.373	0
0.04	0.000104526	0.2	11.3501	253.472	0
